chapter,page,text
5.0,10,Gender is also about the thoughts and feelings a person has about being a female or about being a male.
5.0,10,"A trans- gender person is someone who crosses from the gender that person was born with to the opposite gender, or as some say, to the other gender."
5.0,10,"This means that a person who was born with a male body, but feels, acts, and knows he is a female — or a person who was born a with a female body, but feels, acts, and knows she is a male — is a trans­gender person."
5.0,10,Some may feel this way all of the time and will feel this way throughout their lives.
5.0,10,Others may feel this way for only a few months or a few years.
5.0,10,And some may feel that sometimes they are one gender and other times they are the other gender.
5.0,10,People who feel this way may change the way they dress or their name to reflect the gender they believe they really are.
5.0,10,"They may also ask to be called “he” instead of “she” or “she” instead of “he.” Transgender people can be straight, or lesbian, or gay, or bi­sexual."
5.0,10,"There are some who dis­ approve of people who are gay, lesbian, bi­sexual, or trans­ gender or call them offensive names, or tease, bully, or even hate them, or not want to be with them, only because a person is lesbian, gay, bi­sexual, or trans­gender."
5.0,10,Some also feel that LGBT people should not
5.0,11,They may feel this way because they think LGBT people are different from them or that gay relationships are wrong.
5.0,11,"These people’s views are based on fears or misinformation, not on facts."
5.0,11,People are often afraid of people they know little or nothing about or who are dif- ferent from them in some ways.
5.0,11,"If a person has any ques- tions, thoughts, or concerns about his or her sexual feelings or gender, talking to someone you know and trust — a parent, relative, therapist, doctor, nurse, teacher, or clergy member — can be helpful."
5.0,11,"No matter what some people may think, it’s always important for every person to remember to treat all people with respect."
5.0,11,"And it’s important to know that a person’s daily life — making a home, having friends and fun, working, being in love, being single, being a partner, being married, raising children — is mostly the same whether he or she is straight, gay, bi­sexual, or trans­gender."
7.0,16,The whole area of soft skin between a female’s legs is called the vulva.
7.0,16,"The word vulva comes from the Latin word volva, which means covering ."
7.0,16,"The vulva covers the clitoris, the opening to the vagina, the opening to the urethra, and the labia."
7.0,16,The labia are two sets of soft folds of skin inside the vulva.
7.0,16,"They cover the inner parts of the vulva — the clitoris, the opening to the urethra, and the opening to the vagina."
7.0,16,Labia is the Latin word for lips.
7.0,16,The clitoris is a small mound of skin about the size of a pea.
7.0,16,"When the clitoris is touched and rubbed, a female’s body feels good both outside and inside."
7.0,16,"It feels kind of tingly, kind of warm and nice."
7.0,16,It feels sexy.
7.0,17,The opening to the urethra is quite small.
7.0,17,The urethra is not one of the female’s sex organs.
7.0,17,It is a tube through which urine — liquid waste — leaves the body.
7.0,17,The vagina is a passageway between the uterus — a sex organ inside the female body — and the outside of the female body.
7.0,17,The opening to the vagina is bigger than the opening to the urethra.
7.0,17,The anus is a small opening through which feces — solid waste — leave a female’s body.
7.0,17,"In all, from front to back, there are three openings between a female’s legs: the opening to her urethra, the opening to her vagina, and her anus."
7.0,17,"If a girl or woman is curious about what these open- ings look like, she can hold a mirror between her legs and take a look."
7.0,18,"If you could actually look inside the female body and see the female’s inner sex organs, you would see two ovaries, two Fallopian tubes, the uterus, and the vagina."
7.0,18,The two ovaries — one on each side of the uterus — are about the size of large strawberries.
7.0,18,The ovaries contain a female’s sex cells — also called eggs or ova.
7.0,18,A single egg is called an ovum.
7.0,18,The two Fallopian tubes are passageways through which an egg travels on its way to the uterus.
7.0,18,One end of each tube almost touches an ovary.
7.0,18,The other end of each tube is con- nected to the uterus.
7.0,18,Each tube is about three inches long and the width of a drinking straw.
7.0,18,The uterus is made of strong muscles and is hollow inside.
7.0,18,It is about the size and shape of a small upside-down pear and is connected to both Fallopian tubes and the inside end of the vagina.
7.0,18,The cervix is a small opening located in the lower part of the uterus.
7.0,18,It connects the uterus to the top of the vagina.
7.0,18,This opening stretches wide when it’s time for a baby to be born.
7.0,18,The vagina is the passageway from the uterus to the outside of the female body.
8.0,19,"The penis is made of soft, spongy tissue and blood vessels."
8.0,19,Urine — liquid waste — leaves a male’s body through a small opening at the tip of his penis.
8.0,19,The end of the penis is called the glans.
8.0,19,"When the penis is touched and rubbed, a male’s body feels good both outside and inside — kind of tingly, kind of warm and nice."
8.0,19,It feels sexy.
8.0,19,"All males are born with some loose skin covering the end of the penis, called the foreskin."
8.0,19,"Some male babies have their foreskins removed a few days after they are born, by a doctor or a specially trained religious person."
8.0,19,This is called circumcision.
8.0,19,"Although a cir­ cumcised penis looks different from an uncircumcised penis, both work in the same way and equally well."
8.0,20,"The scrotum is the soft sac of wrinkly skin that covers, holds, and protects the two plum- shaped testicles."
8.0,20,The anus is a small opening through which feces — solid waste — leave a male’s body.
8.0,20,"In all, from front to back, there are two openings between a male’s legs: the small opening at the tip of his penis and his anus."
8.0,20,"If you could actually look inside the male body and see the male’s inner sex organs, you would see two testicles and a series of tubes and glands that are connected to each other."
8.0,20,The two testicles are soft and squishy and are covered and protected by the scrotum.
8.0,20,Usually one testicle hangs lower than the other.
8.0,20,Before puberty each testicle is about the size of a marble.
8.0,20,"During puberty, each testicle grows to about the size of a walnut or a very small ball."
8.0,20,That’s why they are often called “nuts” or “balls.”
8.0,21,Each testicle is connected to its own small tubelike structure called the epididymis.
8.0,21,Sperm travel through and “grow up” in the epididymis on their way to the vas deferens.
8.0,21,Each epididymis is shaped like head- phones but is much smaller.
8.0,21,The two vas deferens are each about a foot and a half long.
8.0,21,"Each of these long, narrow, ﬂexible, and fairly straight tubes starts at the epididymis and winds all the way to the urethra."
8.0,21,The two vas deferens are about as ﬂexible as strands of cooked spaghetti.
8.0,21,The two seminal vesicles and the prostate gland produce ﬂuids that combine with the sperm to form a mixture called semen.
8.0,21,Semen is the Latin word for seed.
8.0,21,The sperm then travel along in the ﬂuids to and through the urethra.
8.0,21,"The urethra is a long, narrow tube that carries urine — liquid waste — from the bladder, where it is stored, to the penis and out through the opening at its tip."
8.0,21,It is also the passageway through which semen leaves the male body.
9.0,22,Some are scientiﬁc words.
9.0,22,"Some are unscientific — the common, every- ­day words that people use to talk about bodies and sex."
9.0,22,"Some of these words are nice, some are funny, and some are rude."
